network_path,random_seed,suitability_thresh,exposure_delay,kernel,kernel_parameters,alpha_S,alpha_L,alpha_LD,start_month,number_of_time_steps,number_of_simulations,seeding,interventions,interventions_type,time_step,accumulated_probabilities,infections_mean,infections_std,infections_min,infections_25_per,infections_50_per,infections_75_per,infections_max,filename,network,node_count,input_code
../input/networks/BD,1892932127,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,,none,24,203.62,203.62,0.5276209229966514,202.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD2_S100_0_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/I12-B3.csv,none,24,196.77,196.77,4.996675662554823,181.0,195.0,198.0,199.0,204.0,../work/sim_summaries/BD2_S100_I1-B3_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/I18-B3.csv,none,24,202.88,202.88,0.8678313851960604,200.0,202.0,203.0,203.25,204.0,../work/sim_summaries/BD2_S100_I12-B3_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/I1-B3.csv,none,24,100.60000000000002,100.6,57.90029744694274,10.0,17.5,113.5,139.75,185.0,../work/sim_summaries/BD2_S100_I18-B3_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/I3-B3.csv,none,24,174.91,174.91,38.13561526336176,16.0,186.0,188.0,190.0,192.0,../work/sim_summaries/BD2_S100_I3-B3_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/I6-B3.csv,none,24,191.44,191.44,2.5871477215909677,180.0,190.0,191.0,193.0,200.0,../work/sim_summaries/BD2_S100_I6-B3_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,,none,24,203.92,203.92,0.2726599243442907,203.0,204.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_0_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I3-B1.csv,none,24,193.31,193.31,1.624900929380936,181.0,193.0,194.0,194.0,195.0,../work/sim_summaries/BD1_S100_I3-B1_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I3-B2.csv,none,24,188.68000000000004,188.68,10.0913804603711,134.0,189.0,192.0,193.0,194.0,../work/sim_summaries/BD1_S100_I3-B2_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I3-B3.csv,none,24,176.40000000000003,176.4,37.81881312604384,16.0,186.75,190.0,191.0,192.0,../work/sim_summaries/BD1_S100_I3-B3_summary.csv,BD,211,
../input/networks/BD,1892932127,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/I3-B4.csv,none,24,158.57999999999998,158.58,59.5171106879901,15.0,181.0,185.0,186.0,187.0,../work/sim_summaries/BD1_S100_I3-B4_summary.csv,BD,211,
